country,year,fertility_rate_total_births_per_woman,life_expectancy_at_birth_total_years,mortality_rate_infant_per_1_000_live_births,prevalence_of_hiv_total_pct_of_population_ages_15_49,population_growth_annual_pct,population_aged_15_24_years_thousands,population_aged_25_64_years_thousands,population_aged_65_years_or_older_thousands,rural_population_pct_of_total_population
Burundi,2020,5.18,62.57,34.5,1.0,2.91,2232.45,4040.14,301.06,86.29
Burundi,2021,5.08,62.1,33.4,0.9,2.72,2330.73,4167.19,313.41,85.94
Burundi,2022,4.98,62.88,32.4,0.9,2.71,2442.3,4289.5,324.98,85.58
Burundi,2023,4.88,63.65,31.5,0.8,2.73,2580.83,4414.82,337.31,85.22
Burundi,2024,,,,0.8,2.58,,,,
Comoros,2020,4.07,65.76,38.7,0.1,1.96,151.91,301.72,35.51,70.62
Comoros,2021,4.0,65.2,37.8,0.1,1.98,155.72,309.36,36.17,70.39
Comoros,2022,3.94,66.48,36.8,0.1,1.94,159.21,317.27,36.74,70.14
Comoros,2023,3.88,66.78,35.7,0.1,1.92,162.11,326.17,37.59,69.87
Comoros,2024,,,,0.1,1.89,,,,
DRC Congo,2020,6.21,60.43,48.4,0.9,3.22,18144.66,29888.65,2919.4,54.36
DRC Congo,2021,6.16,60.04,47.1,0.8,3.24,18641.27,30969.0,3005.25,53.77
DRC Congo,2022,6.11,60.98,45.8,0.8,3.22,19178.63,32010.0,3089.69,53.16
DRC Congo,2023,6.05,61.9,44.5,0.8,3.26,19806.45,33084.97,3189.39,52.56
DRC Congo,2024,,,,0.7,3.24,,,,
Djibouti,2020,2.75,64.2,48.8,1.2,1.5,217.88,487.26,48.74,21.94
Djibouti,2021,2.7,63.83,47.3,1.1,1.44,221.23,499.68,50.17,21.78
Djibouti,2022,2.65,65.54,45.9,1.0,1.4,224.21,511.63,51.66,21.62
Djibouti,2023,2.61,65.99,44.4,1.0,1.38,226.7,523.63,53.57,21.45
Djibouti,2024,,,,0.9,1.36,,,,
Eritrea,2020,3.93,66.98,27.9,0.5,1.56,705.01,1095.26,133.27,58.65
Eritrea,2021,3.87,66.94,27.2,0.5,1.77,729.35,1124.1,136.02,58.02
Eritrea,2022,3.79,67.79,26.4,0.5,1.75,745.3,1161.87,138.74,57.38
Eritrea,2023,3.71,68.62,25.5,0.4,1.77,760.38,1197.6,141.93,56.73
Eritrea,2024,,,,0.4,1.86,,,,
Ethiopia,2020,4.27,65.97,39.6,0.9,2.71,25142.62,40880.78,3583.33,78.31
Ethiopia,2021,4.18,65.33,38.3,0.8,2.67,25791.61,42514.86,3715.95,77.83
Ethiopia,2022,4.08,66.9,37.0,0.8,2.62,26391.45,44153.11,3841.03,77.34
Ethiopia,2023,3.99,67.31,35.7,0.7,2.6,26961.07,45858.2,3994.02,76.84
Ethiopia,2024,,,,0.7,2.58,,,,
Kenya,2020,3.36,61.6,36.9,3.7,1.96,10584.49,19218.93,1439.11,72.0
Kenya,2021,3.31,61.23,36.4,3.6,1.9,10905.6,19786.44,1473.81,71.51
Kenya,2022,3.26,63.55,35.8,3.4,1.92,11221.39,20346.53,1526.27,71.0
Kenya,2023,3.21,63.65,34.7,3.2,1.98,11568.02,20952.31,1581.23,70.48
Kenya,2024,,,,3.0,1.96,,,,
Madagascar,2020,4.17,62.71,44.7,0.3,2.57,5902.84,10206.8,894.12,61.47
Madagascar,2021,4.1,62.52,44.9,0.4,2.52,6031.09,10552.06,932.02,60.79
Madagascar,2022,4.04,63.07,44.7,0.4,2.48,6151.93,10909.56,972.55,60.12
Madagascar,2023,3.97,63.63,44.2,0.4,2.46,6270.33,11285.24,1016.6,59.44
Madagascar,2024,,,,0.5,2.44,,,,
Malawi,2020,3.88,65.22,32.3,7.9,2.64,3999.54,6382.96,527.53,82.57
Malawi,2021,3.79,64.78,31.4,7.4,2.59,4148.1,6634.09,530.29,82.31
Malawi,2022,3.72,66.04,30.5,7.0,2.57,4305.14,6888.24,533.73,82.02
Malawi,2023,3.65,67.35,29.4,6.6,2.57,4462.43,7156.29,541.28,81.72
Malawi,2024,,,,6.2,2.58,,,,
Mauritius,2020,1.44,74.18,14.1,,0.0,193.05,735.22,143.17,59.24
Mauritius,2021,1.41,73.68,14.0,,0.03,191.23,734.61,149.44,59.23
Mauritius,2022,1.32,73.51,13.8,,-0.3,189.16,733.19,155.15,59.19
Mauritius,2023,1.39,73.41,13.5,,-0.12,185.4,733.16,161.22,59.13
Mauritius,2024,,,,,-0.12,,,,
Mozambique,2020,4.96,61.39,49.1,12.6,2.96,6152.14,9598.46,853.78,62.93
Mozambique,2021,4.91,60.27,47.7,12.4,2.96,6326.85,9940.36,876.92,62.37
Mozambique,2022,4.84,63.01,46.5,12.1,2.95,6499.88,10291.45,892.78,61.81
Mozambique,2023,4.76,63.61,45.4,11.8,2.95,6676.51,10673.34,918.4,61.25
Mozambique,2024,,,,11.5,2.92,,,,
Rwanda,2020,3.91,66.95,31.5,2.6,2.24,2550.96,,441.02,82.57
Rwanda,2021,3.84,66.85,31.1,2.4,2.19,2641.35,,467.24,82.43
Rwanda,2022,3.78,67.53,30.8,2.3,2.19,2735.81,,495.85,82.28
Rwanda,2023,3.7,67.78,30.5,2.2,2.2,2830.47,,520.18,82.11
Rwanda,2024,,,,2.0,2.14,,,,
Seychelles,2020,2.29,77.24,13.6,,0.85,16.6,,8.86,42.45
Seychelles,2021,2.46,73.4,13.5,,0.81,16.28,,9.37,42.03
Seychelles,2022,2.01,73.7,13.3,,,15.97,,10.04,41.6
Seychelles,2023,2.02,74.96,13.1,,-0.09,16.19,,10.41,41.18
Seychelles,2024,,,,,1.31,,,,
Somalia,2020,6.45,57.09,73.7,0.1,3.8,3292.12,,413.58,53.86
Somalia,2021,6.35,55.7,71.8,0.1,3.66,3418.44,,431.38,53.27
Somalia,2022,6.25,53.93,89.9,0.1,3.03,3538.04,,445.0,52.68
Somalia,2023,6.13,58.82,67.8,0.1,3.08,3628.7,,459.98,52.08
Somalia,2024,,,,0.1,3.48,,,,
South Sudan,2020,4.16,57.65,72.6,1.7,2.6,2056.15,,281.12,79.8
South Sudan,2021,4.05,57.05,72.6,1.7,1.55,2208.97,,295.3,79.49
South Sudan,2022,3.96,57.2,72.6,1.6,1.42,2294.23,,304.86,79.15
South Sudan,2023,3.86,57.62,72.6,1.6,4.11,2443.3,,320.22,78.81
South Sudan,2024,,,,1.5,3.93,,,,
Tanzania,2020,4.8,66.77,33.5,4.1,2.99,12129.75,,1808.58,64.77
Tanzania,2021,4.73,66.13,32.4,4.0,3.0,12528.77,,1872.95,64.05
Tanzania,2022,4.67,66.88,31.2,3.9,2.95,12924.21,,1931.8,63.32
Tanzania,2023,4.61,67.0,29.9,3.7,2.9,13302.56,,1996.28,62.59
Tanzania,2024,,,,3.5,2.87,,,,
Uganda,2020,4.62,66.41,30.6,5.8,3.33,9603.23,,896.74,75.05
Uganda,2021,4.51,66.45,29.5,5.6,3.22,9908.2,,936.55,74.45
Uganda,2022,4.39,67.67,28.7,5.4,3.01,10220.34,,978.65,73.84
Uganda,2023,4.28,68.25,27.6,5.2,2.8,10472.6,,1022.87,73.23
Uganda,2024,,,,4.9,2.75,,,,
Zambia,2020,4.32,63.36,34.5,11.1,2.9,3809.66,,337.8,55.37
Zambia,2021,4.25,62.36,33.4,10.7,2.82,3934.01,,351.5,54.81
Zambia,2022,4.17,65.28,32.2,10.3,2.76,4066.34,,364.81,54.24
Zambia,2023,4.1,66.35,30.9,9.8,2.79,4198.53,,383.31,53.66
Zambia,2024,,,,9.4,2.81,,,,
