country,project_name,type,location,operator_developer,status,scale_capacity,source_title,source_url,source_date,source_year
Burundi,"Port of Bujumbura Modernization (Lake Tanganyika Transport Corridor Development Project, Phase I)",Port,"Bujumbura, Burundi","Government of Burundi, financed by African Development Bank Group and European Union","Construction commenced August 17, 2023, with a 24-month completion timeline; project rehabilitates port equipment, access roads and staff capacity to establish Bujumbura as a Lake Tanganyika regional trade hub.","€79 million total (€23.4M AfDB, €29M EU, €2M Government of Burundi)",Burundi: the Port of Bujumbura will soon be renovated and modernized thanks to funding from the African Development Bank Group and the European Union,https://www.afdb.org/en/news-and-events/press-releases/burundi-port-bujumbura-will-soon-be-renovated-and-modernized-thanks-funding-african-development-bank-group-and-european-union-63941,2023-08-25,2023
Comoros,Port of Moroni Deep-Water Port Redevelopment,Port,"Moroni, Grande Comore, Comoros",China Road and Bridge Corporation (contracted); Government of Comoros,"Commercial contract signed March 2018 for dredging and redevelopment; as of the most recent available reporting (June 2022), construction work had reportedly not yet commenced.",$165 million (contracted),"Will Comoros Be China's Next ""Djibouti"" In Indian Ocean Region?",https://channel16.dryadglobal.com/will-comoros-be-chinas-next-djibouti-in-indian-ocean-region,2022-06-10,2022
Djibouti,Djibouti International Free Trade Zone (DIFTZ),SEZ,"Djibouti City, Djibouti","Djibouti Ports & Free Zones Authority / Great Horn Investment Holding, with China Merchants Group","Zone established 2015 (43.5 sq km) and operational since 2018; major expansion phase agreed January 8, 2021.",43.5 sq km; $3 billion expansion agreement (2021); $513 million initial phase (2020),China Merchants signs deal for $3bn expansion of Djibouti City port,https://www.globalconstructionreview.com/china-merchants-signs-deal-3bn-expansion-djibouti/,2021-01-08,2021
Djibouti,PAIX Djibouti Data Centre,Data Centre,"Djibouti City, Djibouti","PAIX Data Centres, with the Djibouti Sovereign Wealth Fund","Under development; joint venture announced May 16, 2024, first phase expected 2026.","$50 million; ~50,000 sq ft net usable space; up to 5MW critical power",PAIX to Construct Carrier-neutral Data Center in Djibouti,https://www.submarinenetworks.com/en/stations/africa/djibouti/paix-to-construct-carrier-neutral-data-center-in-djibouti,2024-05-16,2024
Madagascar,Toamasina Port Extension (Phase 2) and MICTSL Concession Extension,Port,"Toamasina (Tamatave), Madagascar","SPAT, with terminal operator ICTSI via subsidiary MICTSL","Phase 2 under construction, expected completion 2026; concession extended 15 years (2025-2040).","US$639 million total; new 756m container berth, 15-hectare yard expansion",ICTSI Madagascar terminal concession extended until 2040,https://www.ictsi.com/press-releases/ictsi-madagascar-concession-extended,2021-12-13,2021
Madagascar,Port d'Ehoala (Fort Dauphin/Taolagnaro),Port,"Fort Dauphin (Tôlanaro), Anosy region, southern Madagascar","Rio Tinto QMM / Port d'Ehoala SA, with CrossBoundary Energy",Operational since 2009; Ehoala Solar Park inaugurated 3 May 2024.,"8 MW solar park (14,640 panels)",Rio Tinto QMM and CrossBoundary Energy Unveil Ehoala Solar Park in Madagascar,https://solarquarter.com/2024/05/03/rio-tinto-qmm-and-crossboundary-energy-unveil-ehoala-solar-park-in-madagascar/,2024-05-03,2024
Malawi,Malawi National Data Centre,Data Centre,"Blantyre, Malawi",Government of Malawi (built by Huawei),Operational; launched 28 July 2022.,"Malawi's first national data centre; part of a backbone covering 36 sites and 1,386km of fibre",Malawi launches national data center,https://www.datacenterdynamics.com/en/news/malawi-launches-national-data-center/,2022-07-28,2022
Malawi,"SEZ and Dry Port, Area 55",Logistics,"Area 55, north of Lilongwe, Malawi",ARISE IIP (65% stake) with the Government of Malawi,"Development agreement signed; construction slated to start 2024, operations targeted from 2026.",~US$150 million infrastructure investment,ARISE IIP signs agreement with Government of Malawi for the construction of SEZ and dry port,https://www.ariseiip.com/arise-iip-signs-development-agreement-with-government-of-malawi-to-construct-sez-and-dry-port/,2024-02-21,2024
Malawi,Magwero Industrial Park (Lilongwe SEZ),Industrial Park,"Lilongwe, Malawi","ARISE Integrated Industrial Platforms, with Afreximbank and the Government of Malawi",Under construction; groundbreaking held 3 June 2024.,417 hectares; US$300 million in Afreximbank financing,"Afreximbank, in partnership with Arise IIP and the Republic of Malawi, initiates construction of the Magwero Industrial Park",https://www.afreximbank.com/afreximbank-in-partnership-with-arise-iip-and-the-republic-of-malawi-initiates-construction-of-the-magwero-industrial-park-in-lilongwe-an-integrated-industrial-park-set-to-accelerate-the-countr/,2024-06-03,2024
Mauritius,Rose Belle Pharmaceutical and Life Sciences Park,Industrial Park,"Rose Belle, Mauritius",Landscope (Mauritius) Ltd,Tender/developer-selection phase as of March 2021.,~56 arpents (23.6 hectares) of land earmarked,Un parc pharmaceutique à Rose Belle,https://www.business-magazine.mu/actualites/autres/un-parc-pharmaceutique-a-rose-belle/,2021-03-26,2021
