country,year,gdp_current_usd,gdp_current_lcu,gdp_growth_annual_pct,gdp_ppp_current_international_usd,gdp_at_market_prices_constant_2010_usd,gdp_constant_lcu,gdp_ppp_constant_2011_international_usd,gdp_deflator_base_year_varies_by_country,gdp_per_capita_current_usd,gdp_per_capita_current_lcu,gdp_per_capita_ppp_current_international_usd,gdp_per_capita_ppp_constant_2011_international_usd,gni_per_capita_atlas_method_current_usd,gni_per_capita_ppp_current_international_usd,gni_per_capita_current_lcu,gni_current_lcu,poverty_headcount_ratio_at_usd_3_20_a_day_ppp_pct_of_population,total_debt_service_pct_of_gni,general_government_total_expenditure_current_lcu,ppp_conversion_factor_gdp_lcu_per_international_usd,dec_alternative_conversion_factor_lcu_per_usd,official_exchange_rate_lcu_per_usd_period_average,price_level_ratio_of_ppp_conversion_factor_gdp_to_market_exchange_rate,ppp_conversion_factor_private_consumption_lcu_per_international_usd
Burundi,2020,2649680261.0,5910570000000.0,0.33,9923498550.0,3218331065.0,1785540000000.0,10521601909.0,331.02,210.01,468459.71,786.52,833.92,210.0,790.0,471031.21,5943020000000.0,87.2,1.38,1725699000000.0,595.61,2230.67,1915.05,0.27,633.88
Burundi,2021,2775798697.0,6612790000000.0,3.1,10847771569.0,3318099328.0,1840890000000.0,10847771569.0,359.22,214.09,510030.65,836.67,836.67,220.0,840.0,511522.0,6632130000000.0,,1.07,1880152000000.0,609.6,2382.3,1975.95,0.26,657.41
Burundi,2022,3338722828.0,7969720000000.0,1.85,11836036574.0,3379450966.0,1874930000000.0,11048346804.0,425.07,250.63,598277.77,888.52,829.39,230.0,890.0,600784.08,8003100000000.0,,0.99,2673964000000.0,673.34,2387.06,2034.31,0.28,723.14
Burundi,2023,2629391600.0,9071960000000.0,2.67,12588790451.0,3469531570.0,1924910000000.0,11342844864.0,471.29,192.07,662696.88,919.6,828.58,220.0,930.0,667377.91,9136040000000.0,,1.68,3101347000000.0,720.64,3450.21,2574.05,0.21,881.67
Comoros,2020,1225039196.0,527650000000.0,4.01,2616330804.0,1175888998.0,524140000000.0,2747039030.0,100.67,1527.17,657784.02,3261.59,3424.54,1580.0,3280.0,660956.9,530195000000.0,,0.88,98517000000.0,201.68,430.72,430.72,0.47,233.77
Comoros,2021,1299039312.0,540343000000.0,2.73,2821917778.0,1207941362.0,538427000000.0,2821917778.0,100.36,1587.73,660425.53,3449.04,3449.04,1620.0,3470.0,663626.35,542962000000.0,,0.27,105583000000.0,191.48,415.96,415.96,0.46,228.05
Comoros,2022,1279542248.0,597782000000.0,2.82,3108308932.0,1241985921.0,553602000000.0,2901450569.0,107.98,1533.88,716603.45,3726.15,3478.17,1640.0,3750.0,720305.04,600870000000.0,,0.38,105309000000.0,192.32,467.18,467.18,0.41,
Comoros,2023,1430523436.0,650876000000.0,3.06,3318845024.0,1280048597.0,570568000000.0,2990370233.0,114.08,1682.2,765387.56,3902.75,3516.48,1660.0,3920.0,769337.84,654235000000.0,,1.31,107878000000.0,196.12,454.99,454.99,0.43,
DRC Congo,2020,48716961860.0,90181000000000.0,1.74,109045000000.0,45259708654.0,128803000000000.0,122640000000.0,700.15,507.52,939483.8,1136.01,1277.63,520.0,1110.0,915031.97,87833900000000.0,92.5,0.57,11656620000000.0,827.0,1851.12,1851.12,0.45,885.97
DRC Congo,2021,55328482784.0,110115000000000.0,6.2,130244000000.0,48065880295.0,137689000000000.0,130244000000.0,805.0,558.03,1110599.42,1313.62,1313.62,540.0,1270.0,1070654.48,106154000000000.0,,0.6,15892293000000.0,845.45,1990.2,1989.39,0.42,928.6
DRC Congo,2022,65801547756.0,132064000000000.0,8.92,151982000000.0,52355494716.0,148997000000000.0,141867000000.0,886.35,642.61,1289722.82,1484.24,1385.46,590.0,1400.0,1220786.34,125005000000000.0,,0.62,24274559000000.0,868.94,2007.0,2006.71,0.43,
DRC Congo,2023,67006756666.0,163777000000000.0,8.61,171006000000.0,56862826231.0,161824000000000.0,154081000000.0,1012.07,633.4,1548140.57,1616.47,1456.48,640.0,1570.0,1499737.02,158657000000000.0,,0.76,27144749000000.0,957.73,2444.19,2340.04,0.39,
Djibouti,2020,3144136197.0,558779000000.0,1.2,6108376123.0,3065135713.0,528400000000.0,6400671631.0,105.75,2844.89,505596.36,5527.0,5791.48,2780.0,5350.0,489745.84,541261000000.0,,2.33,144139000000.0,91.48,177.72,177.72,0.51,100.04
Djibouti,2021,3392796953.0,602971000000.0,4.41,6682759258.0,3200221046.0,551687000000.0,6682759258.0,109.3,3025.91,537767.98,5960.11,5960.11,2990.0,5850.0,528203.63,592247000000.0,,1.84,139436000000.0,90.23,177.72,177.72,0.51,96.93
Djibouti,2022,3562814909.0,633187000000.0,5.17,7529088292.0,3365561652.0,580190000000.0,7028026489.0,109.13,3133.26,556845.71,6621.33,6180.68,3310.0,6750.0,567437.16,645231000000.0,,2.14,132736000000.0,84.1,177.72,177.72,0.47,94.4
Djibouti,2023,3917150481.0,696160000000.0,7.37,8375036989.0,3613673263.0,622962000000.0,7546137626.0,111.75,3397.52,603810.68,7264.04,6545.1,3510.0,7460.0,619685.39,714463000000.0,,2.52,149757000000.0,83.12,177.72,177.72,0.47,92.02
Eritrea,2020,,,,,,,,,,,,,,,,,,,,5.01,15.07,15.07,0.33,4.99
Eritrea,2021,,,,,,,,,,,,,,,,,,,,4.94,15.07,15.07,0.33,5.2
Eritrea,2022,,,,,,,,,,,,,,,,,,,,,15.07,15.07,,
Eritrea,2023,,,,,,,,,,,,,,,,,,,,,15.07,15.07,,
Ethiopia,2020,107658000000.0,3374750000000.0,6.06,286210000000.0,95071775812.0,21091800000000.0,299262000000.0,160.0,905.31,28378.85,2406.79,2516.55,860.0,2390.0,28217.37,33555400000000.0,,1.89,488243000000.0,11.79,31.35,34.93,0.38,11.29
Ethiopia,2021,111262000000.0,4341020000000.0,5.64,316145000000.0,100435000000.0,22281700000000.0,316145000000.0,194.82,910.95,35541.79,2588.41,2588.41,930.0,2580.0,35358.55,43186400000000.0,63.7,1.82,599007000000.0,13.73,39.02,43.73,0.35,13.44
Ethiopia,2022,126773000000.0,6157020000000.0,5.32,356709000000.0,105780000000.0,23467500000000.0,332970000000.0,262.36,1011.07,49105.16,2844.92,2655.59,1010.0,2830.0,48882.95,61291500000000.0,,1.59,781789000000.0,17.26,48.57,51.76,0.36,16.66
Ethiopia,2023,,8723120000000.0,6.59,393913000000.0,112756000000.0,25015000000000.0,354926000000.0,348.72,,67783.06,3060.91,2757.96,,3050.0,67597.16,86991900000000.0,,,943881000000.0,22.14,,54.6,,20.83
Kenya,2020,100658000000.0,10715100000000.0,-0.27,250255000000.0,84035138347.0,87330600000000.0,264084000000.0,122.7,1927.66,205201.4,4792.57,5057.4,1910.0,4760.0,203823.71,10643100000000.0,65.6,2.83,2657454000000.0,42.82,106.45,106.45,0.4,43.22
