country,year,product_group,grouping_level,export_usd_thousand,import_usd_thousand,trade_balance_usd_thousand,export_product_share_pct,import_product_share_pct,ahs_simple_average_pct,ahs_weighted_average_pct,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_pct,ahs_duty_free_tariff_lines_share_pct,ahs_specific_tariff_lines_share_pct,ahs_ave_tariff_lines_share_pct,ahs_maxrate_pct,ahs_minrate_pct,ahs_specificduty_imports_usd_thousand,ahs_dutiable_imports_usd_thousand,ahs_duty_free_imports_usd_thousand,mfn_simple_average_pct,mfn_weighted_average_pct,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_pct,mfn_duty_free_tariff_lines_share_pct,mfn_specific_tariff_lines_share_pct,mfn_ave_tariff_lines_share_pct,mfn_maxrate_pct,mfn_minrate_pct,mfn_specificduty_imports_usd_thousand,mfn_dutiable_imports_usd_thousand,mfn_duty_free_imports_usd_thousand
Comoros,2023,Capital goods,Broad Economic Category,9098.96,35.51,9063.449999999999,6.84,0.25,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,14.91,0.0
Comoros,2023,Consumer goods,Broad Economic Category,105399.64,14083.25,91316.39,79.26,97.32,2.99,4.71,66.0,69.7,30.3,0.0,0.0,5.0,0.0,0.0,125.71,7.6,7.37,5.05,66.0,98.48,1.52,0.0,0.0,100.0,0.0,0.0,133.31,0.0
Comoros,2023,Intermediate goods,Broad Economic Category,17235.24,345.72,16889.52,12.96,2.39,1.25,0.14,5.0,20.0,80.0,0.0,0.0,5.0,0.0,0.0,1.1,39.22,3.75,1.36,5.0,60.0,40.0,0.0,0.0,5.0,0.0,0.0,10.99,29.33
Comoros,2023,Raw materials,Broad Economic Category,1217.39,6.39,1211.0,0.92,0.04,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.04,0.0
Comoros,2023,Animal,Sector,1203.81,1.63,1202.1799999999998,0.91,0.01,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,1.63,0.0
Comoros,2023,Chemicals,Sector,2847.8,258.0,2589.8,2.14,1.78,2.5,0.31,6.0,83.33,16.67,0.0,0.0,5.0,0.0,0.0,0.16,2.44,5.0,5.0,6.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,2.61,0.0
Comoros,2023,Food Products,Sector,19477.93,0.34,19477.59,14.65,0.0,2.33,3.74,16.0,87.5,12.5,0.0,0.0,5.0,0.0,0.0,0.26,0.07,52.33,23.6,16.0,93.75,6.25,0.0,0.0,100.0,0.0,0.0,0.33,0.0
Comoros,2023,Footwear,Sector,158.57,8.47,150.1,0.12,0.06,5.0,5.0,5.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,8.47,0.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,8.47,0.0
Comoros,2023,Fuels,Sector,27662.59,2.76,27659.83,20.8,0.02,,,,,,,,,,0.0,2.76,0.0,,,,,,,,,,0.0,2.76,0.0
Comoros,2023,Hides and Skins,Sector,226.82,0.12,226.7,0.17,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.12,0.0
Comoros,2023,Mach and Elec,Sector,4965.54,35.77,4929.7699999999995,3.73,0.25,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,14.9,0.0
Comoros,2023,Metals,Sector,7342.11,9.82,7332.29,5.52,0.07,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,7.45,0.0
Comoros,2023,Minerals,Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,2023,Miscellaneous,Sector,5306.05,0.51,5305.54,3.99,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.01,0.0
Comoros,2023,Plastic or Rubber,Sector,3296.4,50.03,3246.37,2.48,0.35,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.03,0.0,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.03,0.0
Comoros,2023,Stone and Glass,Sector,11579.82,37.0,11542.82,8.71,0.26,0.0,0.0,5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.75,1.04,5.0,60.0,40.0,0.0,0.0,5.0,0.0,0.0,7.67,29.33
Comoros,2023,Textiles and Clothing,Sector,2386.71,77.17,2309.54,1.79,0.53,3.0,4.77,33.0,57.58,42.42,0.0,0.0,5.0,0.0,0.0,73.61,3.56,5.0,5.0,33.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,77.17,0.0
Comoros,2023,Transportation,Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,2023,Vegetable,Sector,27466.5,13988.81,13477.69,20.65,96.67,3.0,0.51,7.0,71.43,28.57,0.0,0.0,5.0,0.0,0.0,1840.14,10964.67,4.67,4.79,7.0,100.0,0.0,0.0,0.0,5.0,3.0,0.0,12804.82,0.0
Comoros,2023,Wood,Sector,3901.22,0.94,3900.2799999999997,2.93,0.01,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.94,0.0
Comoros,2023,All Products,Total,132984.49,14471.38,118513.10999999999,100.0,100.0,2.55,0.53,81.0,61.73,38.27,0.0,0.0,5.0,0.0,0.0,1925.44,11032.8,6.62,4.78,81.0,96.3,3.7,0.0,0.0,100.0,0.0,0.0,12928.9,29.33
DRC Congo,2023,Capital goods,Broad Economic Category,186876.0,832.29,186043.71,27.48,0.03,3.46,0.75,52.0,17.31,80.77,1.92,0.0,5.0,0.0,160.15,202.32,77.01,3.46,0.75,52.0,17.31,80.77,1.92,0.0,5.0,0.0,160.15,202.32,77.01
DRC Congo,2023,Consumer goods,Broad Economic Category,390449.92,221.1,390228.82,57.42,0.01,6.84,3.8,72.0,66.67,31.94,1.39,0.0,40.0,0.0,2.6,11.38,14.81,7.47,3.81,72.0,68.06,30.56,1.39,0.0,40.0,0.0,2.6,11.38,14.8
DRC Congo,2023,Intermediate goods,Broad Economic Category,86435.84,2250822.79,-2164386.95,12.71,93.48,4.25,4.39,49.0,89.8,10.2,0.0,0.0,10.0,0.0,0.0,1507319.58,210964.94,4.25,4.39,49.0,89.8,10.2,0.0,0.0,10.0,0.0,0.0,1507319.58,210964.94
DRC Congo,2023,Raw materials,Broad Economic Category,8032.24,155928.44,-147896.2,1.18,6.48,1.92,0.56,16.0,50.0,50.0,0.0,0.0,5.0,0.0,0.0,25508.49,130419.96,2.12,0.56,16.0,56.25,43.75,0.0,0.0,5.0,0.0,0.0,25829.83,130098.61
DRC Congo,2023,Animal,Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC Congo,2023,Chemicals,Sector,39173.8,1.15,39172.65,5.76,0.0,2.5,4.98,3.0,66.67,33.33,0.0,0.0,5.0,0.0,0.0,1.14,0.0,2.5,4.98,3.0,66.67,33.33,0.0,0.0,5.0,0.0,0.0,1.14,0.0
DRC Congo,2023,Food Products,Sector,32041.13,7714.36,24326.77,4.71,0.32,4.38,2.5,25.0,96.0,0.0,4.0,0.0,5.0,2.5,2.6,7714.35,0.0,4.38,2.5,25.0,96.0,0.0,4.0,0.0,5.0,2.5,2.6,7714.35,0.0
DRC Congo,2023,Footwear,Sector,5266.45,0.31,5266.139999999999,0.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,
DRC Congo,2023,Fuels,Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC Congo,2023,Hides and Skins,Sector,1797.78,0.66,1797.12,0.26,0.0,5.0,5.0,3.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.55,0.0,5.0,5.0,3.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.55,0.0
DRC Congo,2023,Mach and Elec,Sector,117465.95,888.53,116577.42,17.28,0.04,5.0,0.81,56.0,21.43,76.79,1.79,0.0,35.0,0.0,160.15,199.45,77.01,5.0,0.81,56.0,21.43,76.79,1.79,0.0,35.0,0.0,160.15,199.45,77.01
DRC Congo,2023,Metals,Sector,40166.65,2040485.19,-2000318.54,5.91,84.74,4.44,4.99,10.0,90.0,10.0,0.0,0.0,5.0,0.0,0.0,1506177.39,2506.06,4.44,4.99,10.0,90.0,10.0,0.0,0.0,5.0,0.0,0.0,1506177.39,2506.06
DRC Congo,2023,Minerals,Sector,1647.32,12737.06,-11089.74,0.24,0.53,3.75,3.32,2.0,100.0,0.0,0.0,0.0,5.0,2.5,0.0,12737.06,0.0,3.75,3.32,2.0,100.0,0.0,0.0,0.0,5.0,2.5,0.0,12737.06,0.0
DRC Congo,2023,Miscellaneous,Sector,41429.4,73.93,41355.47,6.09,0.0,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.86,0.0,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,0.86,0.0
DRC Congo,2023,Plastic or Rubber,Sector,53684.7,34.17,53650.53,7.9,0.0,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,12.37,0.0,5.0,5.0,2.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,12.37,0.0
DRC Congo,2023,Stone and Glass,Sector,36699.37,338480.32,-301780.95,5.4,14.06,2.14,0.0,8.0,37.5,62.5,0.0,0.0,5.0,0.0,0.0,337.36,338120.96,2.14,0.0,8.0,37.5,62.5,0.0,0.0,5.0,0.0,0.0,337.36,338120.96
DRC Congo,2023,Textiles and Clothing,Sector,50226.38,23.99,50202.39,7.39,0.0,12.5,29.94,11.0,90.91,9.09,0.0,0.0,40.0,0.0,0.0,0.61,0.01,15.5,30.09,11.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,0.62,0.0
DRC Congo,2023,Transportation,Sector,161948.35,21.97,161926.38,23.82,0.0,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,4.22,0.0,5.0,5.0,1.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,4.22,0.0
DRC Congo,2023,Vegetable,Sector,2912.9,329.53,2583.37,0.43,0.01,1.25,0.03,5.0,40.0,60.0,0.0,0.0,5.0,0.0,0.0,1.71,327.81,1.88,2.46,5.0,60.0,40.0,0.0,0.0,5.0,0.0,0.0,323.06,6.47
DRC Congo,2023,Wood,Sector,36152.16,7017.63,29134.530000000002,5.32,0.29,3.66,4.69,61.0,60.66,39.34,0.0,0.0,10.0,0.0,0.0,5854.67,444.86,3.66,4.69,61.0,60.66,39.34,0.0,0.0,10.0,0.0,0.0,5854.67,444.86
DRC Congo,2023,All Products,Total,679954.19,2407808.77,-1727854.58,100.0,100.0,4.38,4.07,189.0,57.67,41.27,1.06,0.0,40.0,0.0,162.75,1533041.76,341476.71,4.6,4.07,189.0,58.73,40.21,1.06,0.0,40.0,0.0,162.75,1533363.11,341155.36
Djibouti,2023,Capital goods,Broad Economic Category,216901.3,173.4,216727.9,8.69,0.31,1.0,1.75,60.0,15.0,85.0,0.0,0.0,5.0,0.0,0.0,59.79,111.08,3.9,3.83,60.0,48.33,51.67,0.0,0.0,5.0,0.0,0.0,132.19,38.68
Djibouti,2023,Consumer goods,Broad Economic Category,1120379.17,229.24,1120149.93,44.88,0.4,2.99,3.81,67.0,43.28,55.22,1.49,0.0,25.0,0.0,0.59,147.92,56.8,11.32,4.71,67.0,91.04,7.46,1.49,0.0,100.0,0.0,0.59,175.02,29.7
Djibouti,2023,Intermediate goods,Broad Economic Category,1116321.11,8964.19,1107356.9200000002,44.71,15.8,2.74,1.84,31.0,35.48,64.52,0.0,0.0,20.0,0.0,0.0,3340.82,5600.36,4.7,4.75,31.0,54.84,45.16,0.0,0.0,20.0,0.0,0.0,8540.61,400.58
Djibouti,2023,Raw materials,Broad Economic Category,33502.89,47367.81,-13864.919999999998,1.34,83.48,0.38,3.9,21.0,14.29,85.71,0.0,0.0,7.0,0.0,0.0,30194.83,2322.08,2.65,4.21,21.0,52.38,47.62,0.0,0.0,7.0,0.0,0.0,32192.22,324.69
